Planet Earth II`(2016)`9.5`David Attenborough`https://www.imdb.com/title/tt5491994/
The Adventures of Sherlock Holmes and Dr. Watson: The Hound of the Baskervilles`(1981)`8.6`Vasiliy Livanov, Vitali Solomin`https://www.imdb.com/title/tt0083100/
Peep Show`(2003)`8.6`David Mitchell, Robert Webb`https://www.imdb.com/title/tt0387764/
Ethos`(2020)`8.6`Öykü Karayel, Fatih Artman`https://www.imdb.com/title/tt11301642/
Gomorrah`(2014)`8.6`Salvatore Esposito, Marco D'Amore`https://www.imdb.com/title/tt2049116/
Rurouni Kenshin: Trust and Betrayal`(1999)`8.6`Mayo Suzukaze, Junko Iwao`https://www.imdb.com/title/tt0203082/
Archer`(2009)`8.6`H. Jon Benjamin, Judy Greer`https://www.imdb.com/title/tt1486217/
Formula 1: Drive to Survive`(2019)`8.6`Valtteri Bottas, Will Buxton`https://www.imdb.com/title/tt8289930/
Blackadder the Third`(1987)`8.6`Rowan Atkinson, Tony Robinson`https://www.imdb.com/title/tt0092324/
Succession`(2018)`8.6`Brian Cox, Kieran Culkin`https://www.imdb.com/title/tt7660850/
MisteRogers Neighborhood`(1968)`8.6`Fred Rogers, Betty Aberlin`https://www.imdb.com/title/tt0062588/
Mindhunter`(2017)`8.6`Jonathan Groff, Holt McCallany`https://www.imdb.com/title/tt5290382/
Dexter`(2006)`8.6`Michael C. Hall, Jennifer Carpenter`https://www.imdb.com/title/tt0773262/
Young Justice`(2010)`8.6`Jesse McCartney, Danica McKellar`https://www.imdb.com/title/tt1641384/
Father Ted`(1995)`8.6`Dermot Morgan, Ardal O'Hanlon`https://www.imdb.com/title/tt0111958/
The Bugs Bunny Show`(1960)`8.6`Mel Blanc, June Foray`https://www.imdb.com/title/tt0053488/
The Bureau`(2015)`8.6`Mathieu Kassovitz, Florence Loiret Caille`https://www.imdb.com/title/tt4063800/
Through the Wormhole`(2010)`8.6`Morgan Freeman, Sean Carroll`https://www.imdb.com/title/tt1513168/
Crash Landing on You`(2019)`8.6`Hyun Bin, Son Ye-Jin`https://www.imdb.com/title/tt10850932/
Anne with an E`(2017)`8.6`Amybeth McNulty, Geraldine James`https://www.imdb.com/title/tt5421602/
Daredevil`(2015)`8.6`Charlie Cox, Vincent D'Onofrio`https://www.imdb.com/title/tt3322312/
QI`(2003)`8.6`Alan Davies, Stephen Fry`https://www.imdb.com/title/tt0380136/
Long Way Round`(2004)`8.6`Ewan McGregor, Charley Boorman`https://www.imdb.com/title/tt0403778/
North & South`(2004)`8.5`Daniela Denby-Ashe, Richard Armitage`https://www.imdb.com/title/tt0417349/
