Braveheart`(1995)`8.3`Mel Gibson (dir.), Mel Gibson, Sophie Marceau`https://www.imdb.com/title/tt0112573/
Das Boot`(1981)`8.3`Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer`https://www.imdb.com/title/tt0082096/
3 Idiots`(2009)`8.3`Rajkumar Hirani (dir.), Aamir Khan, Madhavan`https://www.imdb.com/title/tt1187043/
Toy Story`(1995)`8.3`John Lasseter (dir.), Tom Hanks, Tim Allen`https://www.imdb.com/title/tt0114709/
Capernaum`(2018)`8.3`Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw`https://www.imdb.com/title/tt8267604/
High and Low`(1963)`8.3`Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada`https://www.imdb.com/title/tt0057565/
Amadeus`(1984)`8.3`Milos Forman (dir.), F. Murray Abraham, Tom Hulce`https://www.imdb.com/title/tt0086879/
Inglourious Basterds`(2009)`8.3`Quentin Tarantino (dir.), Brad Pitt, Diane Kruger`https://www.imdb.com/title/tt0361748/
Star Wars: Episode VI - Return of the Jedi`(1983)`8.3`Richard Marquand (dir.), Mark Hamill, Harrison Ford`https://www.imdb.com/title/tt0086190/
Like Stars on Earth`(2007)`8.3`Aamir Khan (dir.), Darsheel Safary, Aamir Khan`https://www.imdb.com/title/tt0986264/
Good Will Hunting`(1997)`8.3`Gus Van Sant (dir.), Robin Williams, Matt Damon`https://www.imdb.com/title/tt0119217/
Reservoir Dogs`(1992)`8.3`Quentin Tarantino (dir.), Harvey Keitel, Tim Roth`https://www.imdb.com/title/tt0105236/
2001: A Space Odyssey`(1968)`8.3`Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood`https://www.imdb.com/title/tt0062622/
Requiem for a Dream`(2000)`8.3`Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto`https://www.imdb.com/title/tt0180093/
Vertigo`(1958)`8.3`Alfred Hitchcock (dir.), James Stewart, Kim Novak`https://www.imdb.com/title/tt0052357/
M`(1931)`8.3`Fritz Lang (dir.), Peter Lorre, Ellen Widmann`https://www.imdb.com/title/tt0022100/
The Hunt`(2012)`8.3`Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen`https://www.imdb.com/title/tt2106476/
Eternal Sunshine of the Spotless Mind`(2004)`8.3`Michel Gondry (dir.), Jim Carrey, Kate Winslet`https://www.imdb.com/title/tt0338013/
Citizen Kane`(1941)`8.3`Orson Welles (dir.), Orson Welles, Joseph Cotten`https://www.imdb.com/title/tt0033467/
Dangal`(2016)`8.3`Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar`https://www.imdb.com/title/tt5074352/
Full Metal Jacket`(1987)`8.2`Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey`https://www.imdb.com/title/tt0093058/
Singin' in the Rain`(1952)`8.2`Stanley Donen (dir.), Gene Kelly, Donald O'Connor`https://www.imdb.com/title/tt0045152/
Bicycle Thieves`(1948)`8.2`Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola`https://www.imdb.com/title/tt0040522/
The Kid`(1921)`8.2`Charles Chaplin (dir.), Charles Chaplin, Edna Purviance`https://www.imdb.com/title/tt0012349/
1917`(2019)`8.2`Sam Mendes (dir.), Dean-Charles Chapman, George MacKay`https://www.imdb.com/title/tt8579674/
North by Northwest`(1959)`8.2`Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint`https://www.imdb.com/title/tt0053125/
Snatch`(2000)`8.2`Guy Ritchie (dir.), Jason Statham, Brad Pitt`https://www.imdb.com/title/tt0208092/
A Clockwork Orange`(1971)`8.2`Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee`https://www.imdb.com/title/tt0066921/
Scarface`(1983)`8.2`Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer`https://www.imdb.com/title/tt0086250/
Ikiru`(1952)`8.2`Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko`https://www.imdb.com/title/tt0044741/
Taxi Driver`(1976)`8.2`Martin Scorsese (dir.), Robert De Niro, Jodie Foster`https://www.imdb.com/title/tt0075314/
Come and See`(1985)`8.2`Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova`https://www.imdb.com/title/tt0091251/
Toy Story 3`(2010)`8.2`Lee Unkrich (dir.), Tom Hanks, Tim Allen`https://www.imdb.com/title/tt0435761/
Lawrence of Arabia`(1962)`8.2`David Lean (dir.), Peter O'Toole, Alec Guinness`https://www.imdb.com/title/tt0056172/
